Aleksandrów Kujawski, KP
Koszalin, ZP
Koszyce, MA
Kosów Lacki, MZ
Kowal, KP
Kowalewo Pomorskie, KP
Kowary, DŚ
Koziegłowy, ŚL
Kozienice, MZ
Kołaczyce, PK
Koło, WP
Kołobrzeg, ZP
Końskie, ŚK
Kościan, WP
Kościerzyna, PM
Koźmin Wielkopolski, WP
Kożuchów, LB
Krajenka, WP
Kraków, MA
Krapkowice, OP
Krasnobród, LU
Krasnystaw, LU
Kraśnik, LU
Krobia, WP
Krosno, PK
Krosno Odrzańskie, LB
Krotoszyn, WP
Krośniewice, ŁD
Kruszwica, KP
Krynica Morska, PM
Krynica-Zdrój, MA
Krynki, PD
Krzanowice, ŚL
Krzepice, ŚL
Krzeszowice, MA
Krzywiń, WP
Krzyż Wielkopolski, WP
Książ Wielkopolski, WP
Kudowa-Zdrój, DŚ
Kunów, ŚK
Kutno, ŁD
Kuźnia Raciborska, ŚL
Kwidzyn, PM
Kórnik, WP
Kąty Wrocławskie, DŚ
Kędzierzyn-Koźle, OP
Kępice, PM
Kępno, WP
Kętrzyn, WN
Kęty, MA
Kłecko, WP
Kłobuck, ŚL
Kłodawa, WP
Kłodzko, DŚ
Legionowo, MZ
Legnica, DŚ
Lesko, PK
Leszno, WP
Lewin Brzeski, OP
Leśna, DŚ
Leśnica, OP
Leżajsk, PK
Libiąż, MA
Lidzbark, WN
Lidzbark Warmiński, WN
Limanowa, MA
Lipiany, ZP
Lipno, KP
Lipsk, PD
Lipsko, MZ
Lubaczów, PK
Lubartów, LU
Lubawa, WN
Lubawka, DŚ
Lubań, DŚ
Lubień Kujawski, KP
Lubin, DŚ
Lublin, LU
Lubliniec, ŚL
Lubniewice, LB
Lubomierz, DŚ
Lubowidz, MZ
Luboń, WP
Lubraniec, KP
Lubsko, LB
Lubycza Królewska, LU
Lwówek, WP
Lwówek Śląski, DŚ
Lądek-Zdrój, DŚ
Lębork, PM
Lędziny, ŚL
Maków Mazowiecki, MZ
Maków Podhalański, MA
Malbork, PM
Margonin, WP
Marki, MZ
Maszewo, ZP
Małogoszcz, ŚK
Małomice, LB
Miasteczko Śląskie, ŚL
Miastko, PM
Michałowo, PD
Miechów, MA
Miejska Górka, WP
Mielec, PK
Mielno, ZP
Mieroszów, DŚ
Mieszkowice, ZP
Mikołajki, WN
Mikołów, ŚL
Mikstat, WP
Milanówek, MZ
Milicz, DŚ
Mirosławiec, ZP
Mirsk, DŚ
Międzybórz, DŚ
Międzychód, WP
Międzylesie, DŚ
Międzyrzec Podlaski, LU
Międzyrzecz, LB
Międzyzdroje, ZP
Miłakowo, WN
Miłomłyn, WN
Miłosław, WP
Mińsk Mazowiecki, MZ
Modliborzyce, LU
Mogielnica, MZ
Mogilno, KP
Morawica, ŚK
Mordy, MZ
Moryń, ZP
Morąg, WN
Mosina, WP
Mońki, PD
Mrocza, KP
Mrozy, MZ
Mrągowo, WN
Mszana Dolna, MA
Mszczonów, MZ
Murowana Goślina, WP
Muszyna, MA
Myszków, ŚL
Myszyniec, MZ
Mysłowice, ŚL
Myślenice, MA
Myślibórz, ZP
Mława, MZ
Młynary, WN
Nakło nad Notecią, KP
Namysłów, OP
Narol, PK
Nasielsk, MZ
Nałęczów, LU
Nekla, WP
Nidzica, WN
Niemcza, DŚ
Niemodlin, OP
Niepołomice, MA
Nieszawa, KP
Nisko, PK
Nowa Dęba, PK
Nowa Ruda, DŚ
Nowa Sarzyna, PK
Nowa Sól, LB
Nowa Słupia, ŚK
Nowe, KP
Nowe Brzesko, MA
Nowe Miasteczko, LB
Nowe Miasto Lubawskie, WN
Nowe Miasto nad Pilicą, MZ
Nowe Skalmierzyce, WP
Nowe Warpno, ZP
Nowogard, ZP
Nowogrodziec, DŚ
Nowogród, PD
Nowogród Bobrzański, LB
Nowy Dwór Gdański, PM
Nowy Dwór Mazowiecki, MZ
Nowy Korczyn, ŚK
Nowy Staw, PM
Nowy Sącz, MA
Nowy Targ, MA
Nowy Tomyśl, WP
Nowy Wiśnicz, MA
Nysa, OP
Oborniki, WP
Oborniki Śląskie, DŚ
Obrzycko, WP
Odolanów, WP
Ogrodzieniec, ŚL
Okonek, WP
Olecko, WN
Olesno, OP
Oleszyce, PK
Oleśnica, DŚ
Oleśnica, ŚK
Olkusz, MA
Olsztyn, WN
Olsztynek, WN
Olszyna, DŚ
Opalenica, WP
Opatowiec, ŚK
Opatów, ŚK
Opatówek, WP
Opoczno, ŁD
Opole, OP
Opole Lubelskie, LU
Orneta, WN
Orzesze, ŚL
Orzysz, WN
Osieczna, WP
Osiek, ŚK
Ostroróg, WP
Ostrowiec Świętokrzyski, ŚK
Ostrołęka, MZ
Ostrzeszów, WP
Ostróda, WN
Ostrów Lubelski, LU
Ostrów Mazowiecka, MZ
Ostrów Wielkopolski, WP
Otmuchów, OP
Otwock, MZ
Otyń, LB
Ozimek, OP
Ozorków, ŁD
Oława, DŚ
Ośno Lubuskie, LB
Oświęcim, MA
Ożarów, ŚK
Ożarów Mazowiecki, MZ
Pabianice, ŁD
Pacanów, ŚK
Paczków, OP
Pajęczno, ŁD
Pakość, KP
Parczew, LU
Pasym, WN
